category,dimension,mean,ci
men,power,0.2255869602797817,0.08928721680196439
women,power,0.3350753376950835,0.0760797942354459
men,agency,0.043653426445613756,0.09422867623412946
women,agency,0.0851255783296056,0.08260998803906805
men,sentiment,-0.017287280682025518,0.0944067256400137
women,sentiment,-0.1295783838498994,0.07153770322994707
men,valence,0.18687592649885712,0.1434891336321918
women,valence,-0.05974358252039258,0.1571159771321835
men,arousal,-0.014212708932418713,0.16017210648229913
women,arousal,0.006257351283878305,0.13436871967857922
men,dominance,0.064869665161558,0.15536144766877705
women,dominance,-0.028647564364908017,0.1536991604319669
