category,dimension,mean,ci
men,power,0.15126894666269486,0.08669360873104112
women,power,0.012047336650605698,0.09239532556886648
men,agency,0.20717585028561583,0.10117517484925166
women,agency,0.14993186434061745,0.11373334343705808
men,sentiment,-0.115145060361211,0.1019738389624673
women,sentiment,0.06970119157674527,0.09755099643664371
men,valence,-0.061239353629891156,0.16175693596050658
women,valence,-0.22974587930503745,0.1421293562999992
men,arousal,0.03387741507036236,0.12673587341932918
women,arousal,-0.28390554126056655,0.13822153195650907
men,dominance,0.02076509268036095,0.1369550303832274
women,dominance,-0.3763367930781768,0.15055988112916768
